term	en_term	cat
بودو بالا سينا	bodu bala sena	NAMED TERROR GROUP
بوكو حرام	boko haram	NAMED TERROR GROUP
بوكو الحريم	boko harem	NAMED TERROR GROUP
حركة حرب العصابات البوليفارية	bolivarian guerrilla movement	NAMED TERROR GROUP
قوة تحرير البوليفارية	bolivarian liberation force	NAMED TERROR GROUP
المجلس الوطني بوروك تريبورا	borok national council of tripura	NAMED TERROR GROUP
الجيش الثوري بوغانفيل	bougainville revolutionary army	NAMED TERROR GROUP
الجيش الثوري البريتونية	breton revolutionary army	NAMED TERROR GROUP
كتائب الإمام الحسن البصري	brigades of imam al hassan al basri	NAMED TERROR GROUP
الكوماندوز الغابة bushnegro	bushnegro jungle commandos	NAMED TERROR GROUP
مقاتلون من أجل الحرية الكمبودية	cambodian freedom fighters	NAMED TERROR GROUP
مجموعة ثورية carapaica	carapaica revolutionary group	NAMED TERROR GROUP
الحركة الثورية carapaica	carapaica revolutionary movement	NAMED TERROR GROUP
قوة الرد الكاثوليكية	catholic reaction force	NAMED TERROR GROUP
إمارة القوقاز	caucasus emirate	NAMED TERROR GROUP
فوضوية أمام هجوم	chaotic attack front	NAMED TERROR GROUP
مجموعة مارتل تشارلز	charles martel group	NAMED TERROR GROUP
تشي غيفارا لواء	che guevara brigade	NAMED TERROR GROUP
تشي غيفارا لواء الدولي	che guevara international brigade	NAMED TERROR GROUP
منظمة مسيحية مناهضة المسلمين	christian anti moslem organization	NAMED TERROR GROUP
الدوري الدفاع المسيحي	christian defense league	NAMED TERROR GROUP
حركة الهوية المسيحية	christian identity movement	NAMED TERROR GROUP
طنيون المسيحي الدوري الدفاع	christian patriots defense league	NAMED TERROR GROUP
chukaku هكتار	chukaku ha	NAMED TERROR GROUP
الشعوب cinchonero حركة التحرر	cinchonero peoples liberation movement	NAMED TERROR GROUP
cinchoneros حركة التحرير الشعبية	cinchoneros popular liberation movement	NAMED TERROR GROUP
clandestini كورسي	clandestini corsi	NAMED TERROR GROUP
مقاتل نواة القتال	combatant fighting nucleus	NAMED TERROR GROUP
نواة البروليتارية المقاتلة	combatant proletarian nucleus	NAMED TERROR GROUP
خلية المقاتلة الشيوعية	communist combatant cell	NAMED TERROR GROUP
الحزب الشيوعي المقاتلين	communist combatant party	NAMED TERROR GROUP
الدوري الشيوعي في غرب ألمانيا	communist league of west germany	NAMED TERROR GROUP
الحزب الشيوعي من ألمانيا	communist party of germany	NAMED TERROR GROUP
الحزب الشيوعي الهندي	communist party of india	NAMED TERROR GROUP
الحزب الشيوعي من janashakti الهند	communist party of india  janashakti	NAMED TERROR GROUP
الحزب الشيوعي الماركسي اللينيني	communist party of marxist leninist	NAMED TERROR GROUP
الحزب الشيوعي من الماركسيين اللينينيين	communist party of marxists leninists	NAMED TERROR GROUP
الحزب الشيوعي الماوي في نيبال	communist party of nepal maoist	NAMED TERROR GROUP
الحزب الشيوعي الفليبيني	communist party of the philippines	NAMED TERROR GROUP
الحزب الشيوعي من تركيا	communist party of turkey	NAMED TERROR GROUP
الثوار الشيوعية في أوروبا	communist revolutionaries in europe	NAMED TERROR GROUP
حركة العمال الشيوعية	communist worker movement	NAMED TERROR GROUP
التحالف الديمقراطي الكونغولي	congolese democratic coalition	NAMED TERROR GROUP
التجمع الكونغولي من أجل الديمقراطية	congolese rally for democracy	NAMED TERROR GROUP
مشعلي الحرائق الضمير	conscientious arsonists	NAMED TERROR GROUP
مؤامرة نوى النار	conspiracy of fire nuclei	NAMED TERROR GROUP
المجلس العسكري الاستمرارية	continuity army council	NAMED TERROR GROUP
استمرارية الجيش الجمهوري الايرلندي	continuity ira	NAMED TERROR GROUP
الجيش الجمهوري الايرلندي الحقيقي	real ira	NAMED TERROR GROUP
الجيش الجمهوري الايرلندي الحقيقي	true ira	NAMED TERROR GROUP
استمرارية الجيش الجمهوري الايرلندي	continuity irish republican army	NAMED TERROR GROUP
الكونترا	contras	NAMED TERROR GROUP
كورنيش جيش التحرير الوطني	cornish national liberation army	NAMED TERROR GROUP
الجيش الكورسيكية	corsican army	NAMED TERROR GROUP
الجبهة الوطنية الكورسيكية	corsican patriotic front	NAMED TERROR GROUP
القوات المسلحة الثورية الكورسيكية	corsican revolutionary armed forces	NAMED TERROR GROUP
الكورسيكية الجبهة الثورية المسلحة	corsican revolutionary armed front	NAMED TERROR GROUP
الاتحاد الديمقراطي الكرواتي	croatian democratic union	NAMED TERROR GROUP
مقاتلون من أجل الحرية الكرواتية	croatian freedom fighters	NAMED TERROR GROUP
الجيش المحرر الكوبي	cuban liberator army	NAMED TERROR GROUP
cumann غ mban	cumann na mban	NAMED TERROR GROUP
منظمة قومية قبرصية	cypriot nationalist organization	NAMED TERROR GROUP
داغستان جيش التحرير	dagestan liberation army	NAMED TERROR GROUP
داكشين ديش	dakshin desh	NAMED TERROR GROUP
المجاهدين ديكان	deccan mujahedin	NAMED TERROR GROUP
20 ديسمبر الحركة	december 20 movement	NAMED TERROR GROUP
20 ديسمبر torrijist طليعة وطنية	december 20 torrijist patriotic vanguard	NAMED TERROR GROUP
deendar أنجومان	deendar anjuman	NAMED TERROR GROUP
الديمقراطي كارين الجيش البوذي	democratic karen buddhist army	NAMED TERROR GROUP
الديمقراطية كارين جمعية البوذية	democratic karen buddhist association	NAMED TERROR GROUP
منظمة البوذية الديمقراطية كارين	democratic karen buddhist organization	NAMED TERROR GROUP
الحزب الديمقراطي في أنغولا	democratic party of angola	NAMED TERROR GROUP
النقابات الشعوب الديمقراطية	democratic peoples unions	NAMED TERROR GROUP
dukhtaran ه الملة	dukhtaran e millat	NAMED TERROR GROUP
جبهة تحرير الأرض	earth liberation front	NAMED TERROR GROUP
شرق حركة تركستان الإسلامي	eastern turkistan islamic movement	NAMED TERROR GROUP
الشرقي حركة شرق تركستان الإسلامية	eastern turkistan islamic party	NAMED TERROR GROUP
منظمة التحرير تركستان الشرقية	eastern turkistan liberation organization	NAMED TERROR GROUP
الشرقي مركز معلومات تركستان	east turkestan information center	NAMED TERROR GROUP
شرق حركة تركستان الاسلامي	east turkestan islamic movement	NAMED TERROR GROUP
منظمة التحرير تركستان الشرقية	east turkestan liberation organization	NAMED TERROR GROUP
حزب تركستان الشرقية	east turkestan party	NAMED TERROR GROUP
منظمة التحرير تركستان الشرقية	east turkistan liberation organization	NAMED TERROR GROUP
قوات المتمردين الاكوادوري	ecuadorian rebel force	NAMED TERROR GROUP
الجهاد الإسلامي المصري	egyptian islamic jihad	NAMED TERROR GROUP
إخرسيتو ديل بويبلو أون أرماس	ejercito del pueblo en armas	NAMED TERROR GROUP
EPB movimiento الثوري شعبية	epb movimiento popular revolucionario	NAMED TERROR GROUP
الجهاد الإسلامي الإريتري	eritrean islamic jihad	NAMED TERROR GROUP
الإريترية حركة الجهاد الإسلامي	eritrean islamic jihad movement	NAMED TERROR GROUP
الإريترية جبهة التحرير	eritrean liberation front	NAMED TERROR GROUP
الشعب الإريتري لجبهة التحرير	eritrean people's liberation front	NAMED TERROR GROUP
الجيش ايتا	eta army	NAMED TERROR GROUP
مفجر ايتا	eta bomber	NAMED TERROR GROUP
قوات ايتا	eta forces	NAMED TERROR GROUP
جندي ايتا	eta soldier	NAMED TERROR GROUP
ايتا الارهابية	eta terrorist	NAMED TERROR GROUP
الجيش الشعب الإثيوبي الثورية	ethiopian people's revolutionary army	NAMED TERROR GROUP
الفصائل المسلحة الثوريين libanaises	factions armees revolutionnaires libanaises	NAMED TERROR GROUP
المجاهدين الفلوجة	fallujah mujahideen	NAMED TERROR GROUP
فارابوندو مارتي جبهة التحرير الوطني	farabundo marti national liberation front	NAMED TERROR GROUP
فارابوندو مارتي قوة التحرير الشعبية	farabundo marti popular liberation force	NAMED TERROR GROUP
القوات المسلحة الثورية الكولومبية	farc	NAMED TERROR GROUP
فتح أبو موسى	fatah abu musa	NAMED TERROR GROUP
المجلس الثوري لحركة فتح	fatah revolutionary council	NAMED TERROR GROUP
وطن والقومية الحرية أمام	fatherland and liberty nationalist front	NAMED TERROR GROUP
28 فبراير الروابط الشعبية	february 28 popular leagues	NAMED TERROR GROUP
الفدائيين الاسلام	fedayeen al islam	NAMED TERROR GROUP
الفدائيين خلق	fedayeen khalq	NAMED TERROR GROUP
منظمة خلق الفدائيين	fedayeen khalq organization	NAMED TERROR GROUP
khalqs الفدائيين	fedayeen khalqs	NAMED TERROR GROUP
المسلحين الذين يقاتلون من مايو	fighting guerrillas of may	NAMED TERROR GROUP
الجماعة الإسلامية المقاتلة	fighting islamic group	NAMED TERROR GROUP
أول المضادة مجموعة مقاومة الفاشية أكتوبر	first october anti fascist resistance group	NAMED TERROR GROUP
أول مجموعة المقاومة ضد الفاشية أكتوبر	first october antifascist resistance group	NAMED TERROR GROUP
حليقي الرؤوس الرايخ الرابع	fourth reich skinheads	NAMED TERROR GROUP
حركة آتشيه الحرة	free aceh movement	NAMED TERROR GROUP
جيراكان أتشيه ميرديكا	gerakan aceh merdeka	NAMED TERROR GROUP
acheh سومطرة جبهة التحرير الوطني	acheh sumatra national liberation front	NAMED TERROR GROUP
حرية حزب العمال الألمانية	freedom german workers party	NAMED TERROR GROUP
حركة بابوا الحرة	free papua movement	NAMED TERROR GROUP
أصدقاء الحرية لألمانيا	friends of freedom for germany	NAMED TERROR GROUP
جبهة المدافعين عن الاسلام	front for defenders of islam	NAMED TERROR GROUP
الجبهة الإسلامية للإنقاذ	front islamique du salut	NAMED TERROR GROUP
جبهة العدالة والانتقام	front of justice and revenge	NAMED TERROR GROUP
أساطيل FUERZAS دي ناسيونال التحرير	fuerzas armadas de liberation nacional	NAMED TERROR GROUP
gazteriak	gazteriak	NAMED TERROR GROUP
الحزب الشيوعي الألماني	german communist party	NAMED TERROR GROUP
الدوري الرفاقية الألمانية من فيلهلمسهافن	german comradeship league of wilhelmshaven	NAMED TERROR GROUP
جمعية وطن الألمانية	german homeland association	NAMED TERROR GROUP
اتحاد الشعب الألماني	german people's union	NAMED TERROR GROUP
الجيش المظلومين الله	god's oppressed army	NAMED TERROR GROUP
الفجر الذهبي	golden dawn	NAMED TERROR GROUP
غورا يوزكادي askatuta	gora euskadi askatuta	NAMED TERROR GROUP
"الجبهة عظيم المغيرين الإسلامي الشرقي """	great eastern islamic raiders' front	NAMED TERROR GROUP
اليونانية الشباب لمكافحة الدكتاتوري	greek anti dictatorial youth	NAMED TERROR GROUP
اليونانية مكافحة حركة النظام لاوس 11	greek anti regime movement laos 11	NAMED TERROR GROUP
اليونانية الجبهة الأرمنية البلغارية	greek bulgarian armenian front	NAMED TERROR GROUP
جيش التحرير اليونانية	greek liberation army	NAMED TERROR GROUP
مجموعة من كارلو جولياني	group of carlo giuliani	NAMED TERROR GROUP
إعادة البناء الثوري مجموعة	group revolutionary reconstruction	NAMED TERROR GROUP
جوادلوب جيش التحرير	guadeloupe liberation army	NAMED TERROR GROUP
الحرس الاسلام	guardsmen of islam	NAMED TERROR GROUP
حزب العمل في غواتيمالا	guatemalan labor party	NAMED TERROR GROUP
الوحدة الثورية الوطنية الغواتيمالية	guatemalan national revolutionary unity	NAMED TERROR GROUP
جيش العصابات من الفقراء	guerrilla army of the poor	NAMED TERROR GROUP
guevarista الجيش الثوري	guevarista revolutionary army	NAMED TERROR GROUP
غوش ايمونيم	gush emunim	NAMED TERROR GROUP
gwenn ها دو	gwenn ha du	NAMED TERROR GROUP
حماس	hamas	NAMED TERROR GROUP
حماس العراق	hamas of iraq	NAMED TERROR GROUP
الأمة hammerskin	hammerskin nation	NAMED TERROR GROUP
شبكة حقاني	haqqani network	NAMED TERROR GROUP
نادي حركة الجهاد الإسلامي فاي فرع فلسطين	harakat al jihad al islami fi filastin	NAMED TERROR GROUP
نادي حركة آل muqawammah islammiyya	harakat al muqawammah al islammiyya	NAMED TERROR GROUP
نادي حركة الشهداء الإسلامية آل	harakat al shuhada'a al islamiyah	NAMED TERROR GROUP
الحركة الإسلامية المجاهدين العلمي	harakat ul alami	NAMED TERROR GROUP
الحركة الإسلامية المجاهدين الجهاد ط إسلامى	harakat ul jihad i islami	NAMED TERROR GROUP
المجاهدين الحركة الإسلامية المجاهدين	harakat ul mujahideen	NAMED TERROR GROUP
الحركة الإسلامية المجاهدين المجاهدين	harakat ul mujahidin	NAMED TERROR GROUP
حركات الجهاد الإسلامي في بنغلاديش	harkat al jihad al islami in bangladesh	NAMED TERROR GROUP
المجاهدين حركات	harkat mujahideen	NAMED TERROR GROUP
حركات المجاهدين الأنصار	harkat ul ansar	NAMED TERROR GROUP
حركات المجاهدين الجهاد الإسلامي	harkat ul jihad al islami	NAMED TERROR GROUP
المجاهدين حركات المجاهدين	harkat ul mujahideen	NAMED TERROR GROUP
اللواء حسن البصري	hassan al basri brigade	NAMED TERROR GROUP
القوة الإسلامية الحوية	hawiyah islamic force	NAMED TERROR GROUP
صقور تراقيا	hawks of thrace	NAMED TERROR GROUP
حزب إسلامى البريد قلب الدين	hezb e islami gulbuddin	NAMED TERROR GROUP
حزب الله	hezbollah	NAMED TERROR GROUP
منظمة الأمن الخارجي لحزب الله	hezbollah external security organisation	NAMED TERROR GROUP
منظمة الأمن الخارجي لحزب الله	hezbollah external security organization	NAMED TERROR GROUP
الجناح العسكري لحزب الله	hezbollah military wing	NAMED TERROR GROUP
حكمت المجاهدين الجهاد	hikmat ul jihad	NAMED TERROR GROUP
حكمت المجاهدين zihad	hikmat ul zihad	NAMED TERROR GROUP
hikmatul zihad	hikmatul zihad	NAMED TERROR GROUP
hilafet دولتي	hilafet devleti	NAMED TERROR GROUP
الهندوسي سينا ​​حزب راشتريا سانغ	hindu sena rashtriya sangh party	NAMED TERROR GROUP
حزب الله	hizballah	NAMED TERROR GROUP
حزب والنصرة	hizb an nusra	NAMED TERROR GROUP
حزب ه أبو عمر	hizb e abu omar	NAMED TERROR GROUP
حزب إسلامى ه	hizb e islami	NAMED TERROR GROUP
حزب إسلامى ط	hizb i islami	NAMED TERROR GROUP
حزب إسلامى ط	hizbul i islami	NAMED TERROR GROUP
حزب الاسلام	hizbul islam	NAMED TERROR GROUP
المجاهدين حزب المجاهدين	hizb ul mujahideen	NAMED TERROR GROUP
المجاهدين حزب	hizbul mujahideen	NAMED TERROR GROUP
حزب المجاهدين المجاهدين	hizb ul mujahidin	NAMED TERROR GROUP
qowmy حزب الله العربى jabarty	hizbul qowmy al araby al jabarty	NAMED TERROR GROUP
حزب التحرير	hizb ut tahrir	NAMED TERROR GROUP
جماعة ه إسلامى	jamaat e islami	NAMED TERROR GROUP
شبكة هوفستاد	hofstad network	NAMED TERROR GROUP
لواء الامام الحسين	imam hussein brigade	NAMED TERROR GROUP
klans الإمبراطورية الأمريكية	imperial klans of america	NAMED TERROR GROUP
الحركة الثورية المسلحة مستقلة	independent armed revolutionary movement	NAMED TERROR GROUP
المجاهدين الهندي	indian mujahideen	NAMED TERROR GROUP
جيش الدولة الاتحادية الأصليين	indigenous federal state army	NAMED TERROR GROUP
الجيش الاتحادي السكان الأصليين	indigenous people's federal army	NAMED TERROR GROUP
الاتحاد الفوضوي غير الرسمي	informal anarchist federation	NAMED TERROR GROUP
جماعة انغوشيا	ingush jamaat	NAMED TERROR GROUP
الجيش منزل للمتمردين	insurgent home army	NAMED TERROR GROUP
إنتراهاموي	interahamwe	NAMED TERROR GROUP
كتيبة الإسلامية الدولية	international islamic battalion	NAMED TERROR GROUP
اللواء الإسلامي الدولي	international islamic brigade	NAMED TERROR GROUP
الجبهة الإسلامية العالمية	international islamic front	NAMED TERROR GROUP
فريق عمل الثورية العالمية	international revolutionary action group	NAMED TERROR GROUP
اتحاد شباب السيخ الدولي	international sikh youth federation	NAMED TERROR GROUP
الحزب الديمقراطي الكردستاني الإيراني	iranian democratic party of kurdistan	NAMED TERROR GROUP
الجبهة الديمقراطية العراقية	iraqi democratic front	NAMED TERROR GROUP
جيش التحرير العراقي	iraqi liberation army	NAMED TERROR GROUP
المجلس العسكري استمرارية الأيرلندية	irish continuity army council	NAMED TERROR GROUP
الأيرلندية جيش التحرير الوطني	irish national liberation army	NAMED TERROR GROUP
منظمة التحرير الشعب الأيرلندي	irish people's liberation organisation	NAMED TERROR GROUP
منظمة التحرير الشعب الأيرلندي	irish people's liberation organization	NAMED TERROR GROUP
الجيش الجمهوري الايرلندي	irish republican army	NAMED TERROR GROUP
مركز إيزيس شامل	isis holistic center	NAMED TERROR GROUP
لواء الإسلامبولي الشهداء	islambouli brigade of martyrs	NAMED TERROR GROUP
منظمة العمل الإسلامي	islamic action organization	NAMED TERROR GROUP
منظمة العمل الإسلامي	islamic action organisation	NAMED TERROR GROUP
جيش عدن الإسلامي	islamic aden army	NAMED TERROR GROUP
اللواء الاسلامي السيد وقاص	islamic al waqqas brigade	NAMED TERROR GROUP
الجيش الإسلامي في العراق	islamic army in iraq	NAMED TERROR GROUP
الجيش الإسلامي في محافظة عدن	islamic army of aden	NAMED TERROR GROUP
الجيش الإسلامي في محافظة عدن أبين	islamic army of aden abyan	NAMED TERROR GROUP
الأخوة الإسلامية	islamic brotherhood	NAMED TERROR GROUP
المجتمع الإسلامي	islamic community	NAMED TERROR GROUP
اتحاد المحاكم الإسلامية	islamic courts union	NAMED TERROR GROUP
جبهة المدافعين عن الاسلام	islamic defenders front	NAMED TERROR GROUP
قوات الدفاع الاسلامية	islamic defense force	NAMED TERROR GROUP
الإسلامية مجموعة مقاتلين من أجل الحرية	islamic freedom fighters group	NAMED TERROR GROUP
الجبهة الاسلامية	islamic front	NAMED TERROR GROUP
الجبهة الإسلامية للجهاد المسلح	islamic front for armed jihad	NAMED TERROR GROUP
الإسلامي المغيرين الشرقي الكبير أمام	islamic great eastern raiders front	NAMED TERROR GROUP
إسلامى chhatra shibir	islami chhatra shibir	NAMED TERROR GROUP
ماهاز inquilab الإسلامي	islamic inquilab mahaz	NAMED TERROR GROUP
الإسلامية لواء حفظ السلام الدولي	islamic international peacekeeping brigade	NAMED TERROR GROUP
الجهاد الإسلامي	islamic jihad	NAMED TERROR GROUP
لواء الجهاد الإسلامي	islamic jihad brigade	NAMED TERROR GROUP
المجاهدين جماعة	jamaat mujahideen	NAMED TERROR GROUP
حركة الجهاد الإسلامي في فلسطين	islamic jihad movement in palestine	NAMED TERROR GROUP
منظمة الجهاد الإسلامي	islamic jihad organization	ISLAMIC JIHAD ORGANIZATIONS
اتحاد الجهاد الاسلامي	islamic jihad union	NAMED TERROR GROUP
منظمة التحرير الإسلامي	islamic liberation organization	NAMED TERROR GROUP
حركة الشهداء الإسلامية	islamic martyrs movement	NAMED TERROR GROUP
الحركة الإسلامية للتغيير	islamic movement for change	NAMED TERROR GROUP
الحركة الإسلامية في آسيا الوسطى	islamic movement of central asia	NAMED TERROR GROUP
الحركة الإسلامية في أوزبكستان	islamic movement of uzbekistan	NAMED TERROR GROUP
الحزب الإسلامي لتركستان	islamic party of turkistan	NAMED TERROR GROUP
حركة التجديد الإسلامي	islamic renewal movement	NAMED TERROR GROUP
حركة المقاومة الاسلامية	islamic resistance movement	NAMED TERROR GROUP
الجيش الإسلامي للإنقاذ	islamic salvation army	NAMED TERROR GROUP
الجبهة الإسلامية خلاص	islamic salvation front	NAMED TERROR GROUP
الإسلامية andolon shashantantra	islamic shashantantra andolon	NAMED TERROR GROUP
منظمة مهمة الإسلامية	islamic task organization	NAMED TERROR GROUP
إسلامى oikya jote	islami oikya jote	NAMED TERROR GROUP
اللواء الأحمر الإيطالي	italian red brigade	NAMED TERROR GROUP
عز الدين القسام لواء	izz ad din al qassam brigade	NAMED TERROR GROUP
jabarty الحزب القومي العربي	jabarty arab nationalist party	NAMED TERROR GROUP
jamaatul المجاهدين بنغلاديش	jamaatul mujahideen bangladesh	NAMED TERROR GROUP
جاجراتا جاناتا بنغلاديش مسلمة	jagrata muslim janata bangladesh	NAMED TERROR GROUP
حزب التحرير التوحيد	hizb ut tawhid	NAMED TERROR GROUP
jabhat آل nusrah	jabhat al nusrah	NAMED TERROR GROUP
jabhat آل النصرة	jabhat al nusra	NAMED TERROR GROUP
جابات آل النصرة	jabat al nusra	NAMED TERROR GROUP
jahbat آل النصرة	jahbat al nusra	NAMED TERROR GROUP
آل nusrah	al nusrah	NAMED TERROR GROUP
آل النصرة	al nusra	NAMED TERROR GROUP
جبهة النصرة	nusra front	NAMED TERROR GROUP
jabhat التحرير قناة العربية	jabhat al tahrir al arabiyya	NAMED TERROR GROUP
الاسلامية jabhatul	jabhatul islamiya	NAMED TERROR GROUP
جاجراتا جاناتا بنغلاديش مسلمة	jagrata muslim janata bangladesh	NAMED TERROR GROUP
jahafil آل التوحيد والجهاد فاي فرع فلسطين	jahafil al tawhid wal jihad fi filastin	NAMED TERROR GROUP
مجموعة كايون خايمي بيتمان	jaime bateman cayon group	NAMED TERROR GROUP
جيش آل وول المهاجرون الأنصار	jaish al muhajireen wal ansar	NAMED TERROR GROUP
جيش آل ملوك الطوائف المنصورة	jaish al taifa al mansoura	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e mohammad	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e mohammed	NAMED TERROR GROUP
جيش محمد الإلكترونية	jaish e muhammed	NAMED TERROR GROUP
جيش محمد ط	jaish i mohammad	NAMED TERROR GROUP
جيش محمد ط	jaish i mohammed	NAMED TERROR GROUP
جيش محمد ط	jaish i muhammad	NAMED TERROR GROUP
جيش محمد ط	jaish i muhammed	NAMED TERROR GROUP
جيش المجاهدين muslimin	jaish ul muslimin	NAMED TERROR GROUP
الجماعة أهل السنة	jamaa ahlu sunna	NAMED TERROR GROUP
الجماعة ansharut التوحيد	jamaah ansharut tauhid	NAMED TERROR GROUP
جماعة آل fuqra	jamaat al fuqra	NAMED TERROR GROUP
جماعة الجماعة الإسلامية	jamaat al islamiyya	NAMED TERROR GROUP
الجماعة الاسلامية والجهاد الإسلامي	jama'at al jihad al islami	NAMED TERROR GROUP
الجماعة الاسلامية muslimin	jama'at al muslimin	NAMED TERROR GROUP
جماعة أنصار السنة	jamaat ansar al sunna	NAMED TERROR GROUP
جماعة ه إسلامى	jamaat e islami	NAMED TERROR GROUP
الدعوة مسعود جماعة	jamaat ud dawa	NAMED TERROR GROUP
جماعة المجاهدين fuqra	jamaat ul fuqra	NAMED TERROR GROUP
جماعة المجاهدين furquan	jamaat ul furquan	NAMED TERROR GROUP
جماعة المجاهدين بنغلاديش	jamaat ul mujahideen bangladesh	NAMED TERROR GROUP
التوحيد jamaa'tul وول الجهاد	jamaa'tul tawhid wal jihad	NAMED TERROR GROUP
jamatul المجاهدين بنغلاديش	jamatul mujahedin bangladesh	NAMED TERROR GROUP
الجماعة الاسلامية قناة الإصلاح آل idzhtimai	jamiat al islah al idzhtimai	NAMED TERROR GROUP
البريد إسلامى الجماعة الاسلامية	jamiat e islami	NAMED TERROR GROUP
الجماعة الاسلامية المجاهدين الأنصار	jamiat ul ansar	NAMED TERROR GROUP
الجماعة الاسلامية المجاهدين الأنصار	jamiat ul ansar	NAMED TERROR GROUP
الجماعة الاسلامية المجاهدين المجاهدين	jamiat ul mujahedin	NAMED TERROR GROUP
جامو وكشمير الجبهة الإسلامية	jammu and kashmir islamic front	NAMED TERROR GROUP
جامو وكشمير جبهة التحرير	jammu and kashmir liberation front	NAMED TERROR GROUP
الجيش الأحمر الياباني	japanese red army	NAMED TERROR GROUP
jeish ه mahammed	jeish e mahammed	NAMED TERROR GROUP
الجماعة الإسلامية	jemaah islamiya	NAMED TERROR GROUP
الجماعة الإسلامية	jemaah islamiyah	NAMED TERROR GROUP
لواء جنين الشهيد	jenin martyr's brigade	NAMED TERROR GROUP
رابطة الدفاع اليهودية	jewish defence league	NAMED TERROR GROUP
رابطة الدفاع اليهودية	jewish defense league	NAMED TERROR GROUP
منظمة القتال اليهودية	jewish fighting organization	NAMED TERROR GROUP
منظمة القتال اليهودية	jewish fighting organisation	NAMED TERROR GROUP
اللجنة الجهاد	jihad committee	NAMED TERROR GROUP
لواء الفاروق الجهادية	jihadist al faruq brigade	NAMED TERROR GROUP
الأردنية حركة الضباط الأحرار	jordanian free officers movement	NAMED TERROR GROUP
المقاومة الإسلامية الأردنية	jordanian islamic resistance	NAMED TERROR GROUP
اللجنة الثورية العسكرية الأردنية و	jordanian military and revolutionary committee	NAMED TERROR GROUP
الأردنية حركة تحرر وطني	jordanian national liberation movement	NAMED TERROR GROUP
ثوري الأردنية واللجنة العسكرية	jordanian revolutionary and military committee	NAMED TERROR GROUP
لواء المجاهدين جنيد	junayd jihadist brigade	NAMED TERROR GROUP
جند الله	jundallah	NAMED TERROR GROUP
جند الشام	jund al sham	NAMED TERROR GROUP
جند أنصار الله	jund ansar allah	NAMED TERROR GROUP
العدالة والانتقام الجبهة	justice and revenge front	NAMED TERROR GROUP
العدالة والانتقام الجبهة	justice and vengeance front	NAMED TERROR GROUP
kabataang makabayan	kabataang makabayan	NAMED TERROR GROUP
كاخ وكاهانا تشاي	kach and kahane chai	NAMED TERROR GROUP
حزب كاخ	kach party	NAMED TERROR GROUP
kakurokyo	kakurokyo	NAMED TERROR GROUP
منظمة التحرير kamtapur	kamtapur liberation organisation	NAMED TERROR GROUP
منظمة التحرير kamtapur	kamtapur liberation organization	NAMED TERROR GROUP
kangleipak ​​الحزب الشيوعي	kangleipak communist party	NAMED TERROR GROUP
kanglei yawol كنا LUP	kanglei yawol kanna lup	NAMED TERROR GROUP
ألوية كربلاء	karbala brigades	NAMED TERROR GROUP
اتحاد كارين الوطني	karen national union	NAMED TERROR GROUP
الحزب التقدمي الوطني كاريني	karenni national progressive party	NAMED TERROR GROUP
كشمير جيش التحرير	kashmir liberation army	NAMED TERROR GROUP
كتائب الجنيد آل jihadiyah	kata'ib al junayd al jihadiyah	NAMED TERROR GROUP
كتائب khoul	kataib al khoul	NAMED TERROR GROUP
كتائب حزب الله	kata'ib hezbollah	NAMED TERROR GROUP
الاتحاد الوطني كايين	kayin national union	NAMED TERROR GROUP
kenkoku giyugun اختيار seibatsutai	kenkoku giyugun chosen seibatsutai	NAMED TERROR GROUP
لواء خيبر	khaibar brigade	NAMED TERROR GROUP
khalistan قوة كوماندوس	khalistan commando force	NAMED TERROR GROUP
قوة zindabad khalistan	khalistan zindabad force	NAMED TERROR GROUP
الخمير الحزب الشيوعي	khmer communist party	NAMED TERROR GROUP
الخمير الحمر	khmer rouge	NAMED TERROR GROUP
khuddam المجاهدين الإسلام	khuddam ul islam	NAMED TERROR GROUP
فرسان البنك احراق	knights of the torched bank	NAMED TERROR GROUP
فرسان كاميليا بيضاء	knights of the white kamelia	NAMED TERROR GROUP
komando الجهاد	komando jihad	NAMED TERROR GROUP
كونغرا جل	kongra gel	NAMED TERROR GROUP
kongreya آزادي ش demokrasiya كردستان	kongreya azadi u demokrasiya kurdistan	NAMED TERROR GROUP
كوسوفو جيش التحرير	kosovo liberation army	NAMED TERROR GROUP
جيش التحرير كوكي	kuki liberation army	NAMED TERROR GROUP
كو كلوكس كلان	ku klux klan	NAMED TERROR GROUP
كومبولان مجاهدين ماليزيا	kumpulan mujahidin malaysia	NAMED TERROR GROUP
حزب الله الكردي	kurdish hizbollah	NAMED TERROR GROUP
الكردي حزب الوحدة الاسلامية	kurdish islamic unity party	NAMED TERROR GROUP
الاتحاد الوطني الكردي	kurdish patriotic union	NAMED TERROR GROUP
لواء الانتقام الكردي	kurdish vengeance brigade	NAMED TERROR GROUP
كتائب الثأر الكردية	kurdish vengeance brigades	NAMED TERROR GROUP
شمال الديمقراطي الكردستاني	kurdistan democratic north	NAMED TERROR GROUP
الحزب الديمقراطي الكردستاني	kurdistan democratic party	NAMED TERROR GROUP
حرية كردستان والكونغرس الديمقراطية	kurdistan freedom and democracy congress	NAMED TERROR GROUP
صقور حرية كردستان	kurdistan freedom falcons	NAMED TERROR GROUP
