agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations High Commissioner for Refugees",Asia,IDN,Indonesia,2018-10-17,Earthquake,18-RR-HCR-033,2927,"Shelter assistance for the most vulnerable persons affected by the Central Sulawesi Earthquake and Tsunami","South-Eastern Asia",P,1070000.0,"Rapid Response",2018,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Asia,IDN,Indonesia,2018-10-11,Earthquake,18-RR-CEF-108,2921,"Rapid life-saving support to children in tsunami and earthquake affected area of Central Sulawesi","South-Eastern Asia",P,794593.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Asia,IDN,Indonesia,2018-10-09,Earthquake,18-RR-CEF-110,2928,"Rapid life-saving multi-sectoral support to earthquake affected Sulawesi","South-Eastern Asia",P,3141895.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",OIDN18a/WSH/150472/1
"United Nations Children’s Fund",Asia,IDN,Indonesia,2018-10-09,Earthquake,18-RR-CEF-109,2925,"Protection of children affected by earthquakes/tsunami","South-Eastern Asia",P,643859.0,"Rapid Response",2018,"Child Protection",Protection,"",OIDN18a/PRO-CPN/150475/1
"Food and Agriculture Organization",Asia,IDN,Indonesia,2018-10-09,Earthquake,18-RR-FAO-029,2918,"Emergency support to restore food production and livelihoods of vulnerable households affected by the earthquake and tsunami in Central Sulawesi, Indonesia","South-Eastern Asia",P,999926.0,"Rapid Response",2018,Agriculture,"Food Security","",OIDN18a/FSC/150470/1
"United Nations Population Fund",Asia,IDN,Indonesia,2018-10-09,Earthquake,18-RR-FPA-043,2920,"Ensuring lifesaving sexual and reproductive health services to women and young people affected by the Sulawesi Earthquake and Tsunami response","South-Eastern Asia",P,1000021.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Population Fund",Asia,IDN,Indonesia,2018-10-09,Earthquake,18-RR-FPA-044,2924,"Preventing and responding to gender based violence to protect and empower women and girls affected by the Central Sulawesi Earthquake and Tsunami","South-Eastern Asia",P,826603.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"",OIDN18a/PRO-GBV/150468/1
"International Organization for Migration",Asia,IDN,Indonesia,2018-10-15,Earthquake,18-RR-IOM-034,2926,"Lifesaving Emergency Shelter and CCCM Response for Earthquake and Tsunami affected population in Central Sulawesi","South-Eastern Asia",P,2999277.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"",""
"United Nations Development Programme",Asia,IDN,Indonesia,2018-10-10,Earthquake,18-RR-UDP-012,2919,"Penting Dan Kritis Waktu: Removing Hazards and Enabling the Provision of Critical Emergency Services Through Dignified Work","South-Eastern Asia",P,785760.0,"Rapid Response",2018,"Early Recovery","Early Recovery","",OIDN18a/ERY/150469/1
"World Food Programme",Asia,IDN,Indonesia,2018-10-10,Earthquake,18-RR-WFP-063,2923,"Humanitarian Logistics Coordination for Sulawesi Earthquake and Tsunami Response","South-Eastern Asia",P,1200212.0,"Rapid Response",2018,"Common Logistics",Logistics,"",OIDN18a/LOG/150474/1
"World Health Organization",Asia,IDN,Indonesia,2018-10-15,Earthquake,18-RR-WHO-043,2922,"Improving access to life-saving essential medicines, medical services and prevention and control of communicable disease in the earthquake tsunami and land liquefaction on Central Sulawesi population affected area","South-Eastern Asia",P,962874.0,"Rapid Response",2018,Health,Health,"",OIDN18a/HEA/150479/1
"World Health Organization",Asia,MMR,Myanmar,2018-08-30,Flood,18-RR-WHO-031,2814,"Emergency health assistance to flood-affected population in Myanmar","South-Eastern Asia",P,261440.0,"Rapid Response",2018,Health,Health,"",""
"World Health Organization",Asia,LAO,"Lao People's Democratic Republic",2018-10-15,Flood,18-RR-WHO-042,2914,"Recovery Programme for the floods affected communities in selected Districts of Khamouane Province","South-Eastern Asia",P,146956.0,"Rapid Response",2018,Health,Health,"",""
"World Food Programme",Asia,LAO,"Lao People's Democratic Republic",2018-10-16,Flood,18-RR-WFP-062,2917,"Food Security and Livelihoods support to Flood Affected people in Central Lao PDR","South-Eastern Asia",P,1717708.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"World Food Programme",Asia,PHL,Philippines,2018-03-13,Displacement,18-UF-WFP-011,2572,"Addressing food security, nutrition and livelihood activities of households affected by the Marawi conflict","South-Eastern Asia",P,1200000.0,"Underfunded Emergencies",2018,Agriculture,"Food Security","",""
"United Nations Development Programme",Asia,PHL,Philippines,2018-03-20,Displacement,18-UF-UDP-003,2569,"Targeted Cash Transfers to Vulnerable Internally Displaced Persons (IDPs) Affected by the Marawi Conflict","South-Eastern Asia",P,691923.0,"Underfunded Emergencies",2018,"Early Recovery","Early Recovery","",""
"United Nations Children’s Fund",Asia,PHL,Philippines,2018-03-06,Displacement,18-UF-CEF-019,2571,"Life-saving nutrition interventions for children, and pregnant and lactating women","South-Eastern Asia",P,453766.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",""
"World Health Organization",Asia,PHL,Philippines,2018-03-06,Displacement,18-UF-WHO-007,2573,"Provide access to essential health services for populations affected by the Marawi conflict","South-Eastern Asia",P,536158.0,"Underfunded Emergencies",2018,Health,Health,"",""
"United Nations Population Fund",Asia,PHL,Philippines,2018-03-06,Displacement,18-UF-FPA-008,2566,"Protecting Women and Girls Affected by the Marawi Armed Conflict in Mindanao","South-Eastern Asia",P,400018.0,"Underfunded Emergencies",2018,"Sexual and/or Gender-Based Violence",Protection,"",""
"United Nations Population Fund",Asia,PHL,Philippines,2018-03-06,Displacement,18-UF-FPA-009,2567,"Ensuring access to reproductive health services to the vulnerable displaced population","South-Eastern Asia",P,399841.0,"Underfunded Emergencies",2018,Health,Health,"",""
"United Nations High Commissioner for Refugees",Asia,PHL,Philippines,2018-03-09,Displacement,18-UF-HCR-008,2570,"Provision of protection and assistance to IDPs in Lanao del Sur province","South-Eastern Asia",P,500000.0,"Underfunded Emergencies",2018,Protection,Protection,"",""
"Food and Agriculture Organization",Asia,PHL,Philippines,2018-03-09,Displacement,18-UF-FAO-005,2568,"Improve food security through access to food, livelihoods restoration and increased agricultural capacities","South-Eastern Asia",P,849997.0,"Underfunded Emergencies",2018,Agriculture,"Food Security","",""
"United Nations Development Programme",Asia,LAO,"Lao People's Democratic Republic",2018-10-15,Flood,18-RR-UDP-011,2915,"Debris management for lifesaving in UXO-contaminated flood zones.","South-Eastern Asia",P,812899.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Asia,LAO,"Lao People's Democratic Republic",2018-10-15,Flood,18-RR-FAO-028,2916,"Emergency agriculture support to flood affected communities in Khammoune province","South-Eastern Asia",P,831847.0,"Rapid Response",2018,Agriculture,"Food Security","",""
"Food and Agriculture Organization",Asia,MMR,Myanmar,2018-09-07,Flood,18-RR-FAO-021,2812,"Emergency Food and WASH Unrestricted Cash Assistance and Immediate Agriculture LivelihoodAssistance to Flood Affected People in Bago Region, Kayin State, and Mon State in Myanmar","South-Eastern Asia",P,849998.0,"Rapid Response",2018,Agriculture,"Food Security","",""
"United Nations Population Fund",Asia,MMR,Myanmar,2018-09-06,Flood,18-RR-FPA-029,2807,"Ensuring women and children protection needs in support to 2018 Floods","South-Eastern Asia",P,88150.0,"Rapid Response",2018,Protection,Protection,"",""
"World Food Programme",Asia,MMR,Myanmar,2018-09-07,Flood,18-RR-WFP-048,2813,"Emergency Food and WASH Unrestricted Cash Assistance and Immediate Agriculture LivelihoodAssistance to Flood Affected People in Bago Region, Kayin State, and Mon State in Myanmar","South-Eastern Asia",P,1199964.0,"Rapid Response",2018,Agriculture,"Food Security","",""
"International Organization for Migration",Asia,MMR,Myanmar,2018-09-06,Flood,18-RR-IOM-025,2808,"Ensuring women and children protection needs in support to 2018 Floods","South-Eastern Asia",P,71107.0,"Rapid Response",2018,Protection,Protection,"",""
"United Nations Children’s Fund",Asia,MMR,Myanmar,2018-09-06,Flood,18-RR-CEF-081,2809,"Ensuring women and children protection needs in support to 2018 Floods","South-Eastern Asia",P,89570.0,"Rapid Response",2018,Protection,Protection,"",""
"United Nations Children’s Fund",Asia,MMR,Myanmar,2018-09-06,Flood,18-RR-CEF-082,2810,"Emergency WASH for 2018 flood-affected population in Myanmar","South-Eastern Asia",P,399217.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Asia,MMR,Myanmar,2018-01-10,"Disruption of basic services",18-RR-FAO-001,2506,"Life-saving food security assistance for conflict affected people in northern Rakhine","South-Eastern Asia",P,750000.0,"Rapid Response",2018,Agriculture,"Food Security","",""
"World Food Programme",Asia,MMR,Myanmar,2018-01-10,"Disruption of basic services",18-RR-WFP-001,2505,"Life-saving food security assistance for conflict affected people in northern Rakhine","South-Eastern Asia",P,2880090.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"United Nations Population Fund",Asia,MMR,Myanmar,2018-01-10,"Disruption of basic services",18-RR-FPA-001,2509,"Life-saving child protection and women’s wellness services for communities affected by violence in northern Rakhine","South-Eastern Asia",P,263862.0,"Rapid Response",2018,Protection,Protection,"",""
"World Health Organization",Asia,MMR,Myanmar,2018-01-05,"Disruption of basic services",18-RR-WHO-001,2503,"Lifesaving health care provision to conflict-affected population from 25 August 2017 crisis in northern Rakhine","South-Eastern Asia",P,126095.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Asia,MMR,Myanmar,2018-01-10,"Disruption of basic services",18-RR-CEF-001,2508,"Life-saving child protection and women’s wellness services for communities affected by violence in northern Rakhine","South-Eastern Asia",P,226760.0,"Rapid Response",2018,Protection,Protection,"",""
"United Nations Relief and Works Agency ",Asia,PSE,"occupied Palestinian territory",2018-03-09,"Disruption of basic services",18-RR-RWA-001,2628,"Life-saving food security assistance for vulnerable Palestine refugees in Gaza and West Bank","Western Asia",P,15005129.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Asia,PSE,"occupied Palestinian territory",2018-05-10,"Deterioration of protection and human rights environment",18-RR-CEF-051,2691,"Responding to the trauma injuries and emergency casualties in the Gaza Strip","Western Asia",P,614919.0,"Rapid Response",2018,Health,Health,"",""
"World Health Organization",Asia,PSE,"occupied Palestinian territory",2018-05-10,"Deterioration of protection and human rights environment",18-RR-WHO-017,2690,"Responding to the trauma injuries and emergency casualties in the Gaza Strip","Western Asia",P,645161.0,"Rapid Response",2018,Health,Health,"",""
"World Food Programme",Asia,YEM,Yemen,2018-02-01,"Disruption of basic services",18-RR-WFP-004,2533,"Logistics Augmentation and Coordination to Support Humanitarian Operations in Yemen","Western Asia",P,5500008.0,"Rapid Response",2018,"Common Logistics",Logistics,"",""
"World Food Programme",Asia,YEM,Yemen,2018-02-02,"Disruption of basic services",18-RR-WFP-005,2534,"Immediate, Integrated and Sustained Response to Avert Famine in Yemen","Western Asia",P,19989834.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Asia,YEM,Yemen,2018-02-01,"Disruption of basic services",18-RR-CEF-010,2535,"Integrated Emergency WASH Response in prioritized areas affected by malnutrition and in areas with influx of IDPs affected by the recent conflict.","Western Asia",P,6434013.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Asia,YEM,Yemen,2018-02-01,"Disruption of basic services",18-RR-CEF-011,2536,"Emergency lifesaving Nutrition Response to the most affected children and women in the 27 priority districts of Yemen","Western Asia",P,2729299.0,"Rapid Response",2018,Nutrition,Nutrition,"",""
"World Health Organization",Asia,YEM,Yemen,2018-02-02,"Disruption of basic services",18-RR-WHO-004,2532,"Provision of essential and lifesaving health services and control of communicable disease outbreaks for vulnerable population groups in priority governorates","Western Asia",P,9169997.0,"Rapid Response",2018,Health,Health,"",""
"United Nations High Commissioner for Refugees",Asia,YEM,Yemen,2018-02-01,"Disruption of basic services",18-RR-HCR-003,2537,"Provision of Shelter and Protection Assistance to IDPs in Yemen","Western Asia",P,5970599.0,"Rapid Response",2018,Protection,Protection,"",""
"United Nations Development Programme",Asia,YEM,Yemen,2018-02-02,"Disruption of basic services",18-RR-UDP-001,2538,"Security Support to Humanitarian Operations","Western Asia",P,115540.0,"Rapid Response",2018,"Common Safety and Security","Coordination and Support Services","",""
"World Food Programme",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-WFP-023,2649,"Emergency Food Assistance for Earthquake-affected Persons in Papua New Guinea",Melanesia,P,3235587.0,"Rapid Response",2018,"Food Aid","Food Security","",""
"World Food Programme",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-WFP-024,2650,"Emergency Logistics coordination and Information management in response to the Earthquake in Papua New Guinea",Melanesia,P,262874.0,"Rapid Response",2018,"Common Logistics",Logistics,"",""
"World Health Organization",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-WHO-013,2651,"Life-Saving Health Sector Response to PNG Highland Earthquakes",Melanesia,P,612288.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-CEF-037,2641,"Health Emergency interventions to the Earthquake affected populations of Papua New Guinea, particularly for children under five years",Melanesia,P,434422.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-CEF-038,2642,"Life-saving nutrition interventions to the Earthquake affected populations of Papua New Guinea, particularly for children under five years",Melanesia,P,1333351.0,"Rapid Response",2018,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-CEF-039,2643,"Provision of centre and community based psychosocial support services to facilitate the healing and restore sense of normalcy for children affected by earthquake",Melanesia,P,404436.0,"Rapid Response",2018,"Child Protection",Protection,"",""
"United Nations Children’s Fund",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-CEF-040,2644,"Provision of life-saving water, sanitation and hygiene services to emergency care centers in earthquake affected communities in Hela and Southern Highlands",Melanesia,P,422986.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"International Organization for Migration",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-IOM-011,2646,"Emergency shelter assistance to earthquake affected communities in the highland province of Papua New Guinea",Melanesia,P,997881.0,"Rapid Response",2018,"Non-Food Items","Emergency Shelter and NFI","",""
"International Organization for Migration",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-IOM-012,2647,"WASH Emergency Response in Earthquake Affected Populations in Southern Highlands and Hela Provinces",Melanesia,P,831247.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Development Programme",Oceania,PNG,"Papua New Guinea",2018-03-23,Earthquake,18-RR-UDP-006,2670,"UNDSS Security Support for Humanitarian Operations to 7.5 Magnitude Earthquake affected areas in Southern Highlands and Hela Province",Melanesia,P,222646.0,"Rapid Response",2018,"Common Safety and Security","Coordination and Support Services","",""
"United Nations Population Fund",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-FPA-015,2645,"Ensuring Lifesaving Sexual and Reproductive Health services",Melanesia,P,228474.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Entity for Gender Equality and the Empowerment of Women ",Oceania,PNG,"Papua New Guinea",2018-03-21,Earthquake,18-RR-WOM-003,2648,"Addressing Humanitarian and Protection Needs of Earthquake Affected Women and Girls in PNG",Melanesia,P,200518.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"",""
"United Nations Children’s Fund",Asia,LBN,Lebanon,2018-05-11,Measles,18-RR-CEF-052,2692,"Measles outbreak control response in Lebanon","Western Asia",P,1127942.0,"Rapid Response",2018,Health,Health,"",""
"Office of the High Commissioner for Human Rights",Europe,UKR,Ukraine,2018-06-21,"Disruption of basic services",18-RR-CHR-002,2755,"Protection of civilians living along the ‘contact line’ in NGCA in the context of armed hostilities in eastern Ukraine, and promotion of remedy and reparation to survivors","Eastern Europe",P,350058.0,"Rapid Response",2018,"Human Rights",Protection,"",UKR-18/P-HR-RL/118897/5025
"United Nations Children’s Fund",Europe,UKR,Ukraine,2018-06-27,"Disruption of basic services",18-RR-CEF-067,2757,"Provision of essential basic services for conflict affected children in non-government controlled areas of Donetsk and Luhansk","Eastern Europe",P,1910750.0,"Rapid Response",2018,"Education,Child Protection,Water, Sanitation and Hygiene","Education,Protection,Water Sanitation Hygiene","","UKR-18/E/120657/124,UKR-18/WS/121448/124,UKR-18/CP/119493/124"
"United Nations High Commissioner for Refugees",Europe,UKR,Ukraine,2018-06-27,"Disruption of basic services",18-RR-HCR-020,2756,"Protection and shelter for internally displaced and conflict affected persons in east Ukraine","Eastern Europe",P,849099.0,"Rapid Response",2018,"Protection,Non-Food Items","Protection,Emergency Shelter and NFI","","UKR-18/P-HR-RL/119143/120,UKR-18/S-NF/119212/120"
"International Organization for Migration",Europe,UKR,Ukraine,2018-06-28,"Disruption of basic services",18-RR-IOM-021,2754,"Provision of Lifesaving Non-Food Items and WASH a Support for the Most Vulnerable Households in Luhansk and Donetsk (NGCA)","Eastern Europe",P,2170039.0,"Rapid Response",2018,"Non-Food Items,Water, Sanitation and Hygiene","Emergency Shelter and NFI,Water Sanitation Hygiene","","UKR-18/WS/118179/298,UKR-18/S-NF/119859/298"
"World Health Organization",Europe,UKR,Ukraine,2018-06-28,"Disruption of basic services",18-RR-WHO-025,2758,"Delivery of emergency, trauma and essential emergency health care services in non-Government controlled area of eastern Ukraine July to December 2018","Eastern Europe",P,624666.0,"Rapid Response",2018,Health,Health,"",UKR-18/H/118118/122
"World Food Programme",Africa,MLI,Mali,2018-02-28,Displacement,18-UF-WFP-008,2554,"Assistance nutritionnelle pour la prise en charge de la malnutrition aigüe modérée chez les enfants de moins de cinq ans, les femmes enceintes et allaitantes","Western Africa",P,1200000.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",MLI-18/N/121465/561
"World Food Programme",Africa,MLI,Mali,2018-03-05,Displacement,18-UF-WFP-010,2563,"Réponse aux besoins alimentaires immédiats des personnes en insécurité alimentaire sévère","Western Africa",P,1699841.0,"Underfunded Emergencies",2018,"Food Aid","Food Security","",MLI-18/F/121563/561
"World Food Programme",Africa,NER,Niger,2018-10-23,Cholera,18-RR-WFP-065,2940,"Increase of regular flight rotations to respond to Cholera outbreak","Western Africa",P,473472.0,"Rapid Response",2018,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Health Organization",Africa,NGA,Nigeria,2018-05-10,"Other health emergency",18-RR-WHO-016,2688,"Support the containment of the Lassa fever outbreak in Nigeria","Western Africa",P,655049.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Africa,MLI,Mali,2018-03-01,Displacement,18-UF-CEF-014,2553,"Projet intégré WASH in Nut d’appui à la prévention et au traitement de la malnutrition","Western Africa",P,1950000.0,"Underfunded Emergencies",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",MLI-18/WS/120838/124
"United Nations Children’s Fund",Africa,MLI,Mali,2018-03-05,Displacement,18-UF-CEF-018,2564,"La prise en charge intégrée de la malnutrition aigüe sévère au Mali dans les regions du nord et du centre du Mali affectés par les conflits","Western Africa",P,1200000.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",MLI-18/N/120827/124
"United Nations Children’s Fund",Africa,NER,Niger,2018-07-31,Displacement,18-RR-CEF-074,2779,"Emergency WASH response to displaced populations and host communities in Tillabery and Tahoua regions","Western Africa",P,950056.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","Boko Haram crisis  2014-2017",""
"United Nations Children’s Fund",Africa,NER,Niger,2018-07-31,Displacement,18-RR-CEF-075,2780,"Protective environment for children affected by armed conflict","Western Africa",P,199997.0,"Rapid Response",2018,"Child Protection",Protection,"Boko Haram crisis  2014-2017",""
"United Nations High Commissioner for Refugees",Africa,NER,Niger,2018-07-31,Displacement,18-RR-HCR-022,2781,"Prevention and response to protection needs for IDPs in Tillabery and Tahoua areas","Western Africa",P,809241.0,"Rapid Response",2018,Protection,Protection,"Boko Haram crisis  2014-2017",""
"International Organization for Migration",Africa,NER,Niger,2018-07-31,Displacement,18-RR-IOM-023,2783,"Humanitarian Assistance to Newly Displaced Population in Niger along Malian-Niger Border communities","Western Africa",P,1550001.0,"Rapid Response",2018,Shelter,"Emergency Shelter and NFI","Boko Haram crisis  2014-2017",""
"International Organization for Migration",Africa,MLI,Mali,2018-03-12,Displacement,18-UF-IOM-005,2565,"Améliorer l’accès à l’eau, l’hygiène et assainissement dans les zones à forte concentration de PDI et retournés","Western Africa",P,849999.0,"Underfunded Emergencies",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",MLI-18/WS/121650/298
"Food and Agriculture Organization",Africa,NER,Niger,2018-08-02,Displacement,18-RR-FAO-018,2784,"Securing the main livelihood of livestock farmers in the regions of Tahoua and Tillabéry","Western Africa",P,1365883.0,"Rapid Response",2018,"Livestock ","Food Security","Boko Haram crisis  2014-2017",""
"United Nations Children’s Fund",Americas,HTI,Haiti,2018-03-20,Multiple,18-UF-CEF-028,2614,"Preventing cholera in areas prone to regular outbreaks and quickly circumscribing flash outbreaks","Latin America and the Caribbean",P,1300018.0,"Underfunded Emergencies",2018,Health,Health,"Haiti Cholera",HTI-18/H/124479/124
"United Nations Children’s Fund",Americas,HTI,Haiti,2018-03-21,Multiple,18-UF-CEF-029,2615,"Treatment of acute malnutrition in vulnerable communities impacted by natural disasters","Latin America and the Caribbean",P,699977.0,"Underfunded Emergencies",2018,Nutrition,Nutrition,"",HTI-18/N/125044/124
"United Nations Children’s Fund",Americas,HTI,Haiti,2018-03-15,Multiple,18-UF-CEF-030,2616,"Preventing cholera in areas prone to regular outbreaks and quickly circumscribing flash outbreaks","Latin America and the Caribbean",P,250000.0,"Underfunded Emergencies",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","Haiti Cholera",HTI-18/WS/125105/124
"World Health Organization",Americas,HTI,Haiti,2018-03-23,Multiple,18-UF-WHO-011,2612,"Improving the Detection, Case Management and Response to Cholera and Diphtheria Cases in Haiti","Latin America and the Caribbean",P,1723155.0,"Underfunded Emergencies",2018,Health,Health,"Haiti Cholera","HTI-18/H/125301/122,HTI-18/H/125294/122"
"World Food Programme",Americas,HTI,Haiti,2018-03-20,Multiple,18-UF-WFP-018,2617,"Provision of nutrition-sensitive, targeted food assistance to families with moderate or severe acute malnourished children 6-23 months in Grande Anse department","Latin America and the Caribbean",P,749901.0,"Underfunded Emergencies",2018,"Food Aid","Food Security","",HTI-18/F/124978/561
"United Nations Population Fund",Africa,NER,Niger,2018-07-31,Displacement,18-RR-FPA-027,2782,"Prevention and response to GBV in IDPs and host communities in the conflict-affected region of Tillabery","Western Africa",P,150040.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Boko Haram crisis  2014-2017",""
"United Nations Population Fund",Americas,HTI,Haiti,2018-03-23,Multiple,18-UF-FPA-012,2613,"Improve access to sexual and reproductive health services for Haitian women of reproductive age affected by Hurricane Matthew and/or displaced in Grand Anse, South and West Departments","Latin America and the Caribbean",P,497717.0,"Underfunded Emergencies",2018,Health,Health,"",HTI-18/H/124193/1171
"Food and Agriculture Organization",Americas,HTI,Haiti,2018-03-15,Multiple,18-UF-FAO-009,2611,"Emergency agricultural assistance to family farmers affected by Hurricanes Matthew and Irma in the North-East and Grande Anse Departments","Latin America and the Caribbean",P,984569.0,"Underfunded Emergencies",2018,Agriculture,"Food Security","",HTI-18/A/124070/123
"International Organization for Migration",Americas,HTI,Haiti,2018-03-20,Multiple,18-UF-IOM-008,2610,"Shelter and NFI Assistance for the Most Vulnerable People Affected by Hurricane Matthew","Latin America and the Caribbean",P,2779840.0,"Underfunded Emergencies",2018,"Non-Food Items","Emergency Shelter and NFI","",HTI-18/S-NF/125195/298
"World Health Organization",Americas,ECU,Ecuador,2018-10-01,Displacement,18-RR-WHO-038,2878,"Response to health needs on migrant population","Latin America and the Caribbean",P,211177.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,ECU,Ecuador,2018-10-03,Displacement,18-RR-CEF-096,2879,"Provision of safe water, sanitation and hygiene services to population in migratory condition in border points","Latin America and the Caribbean",P,173792.0,"Rapid Response",2018,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,ECU,Ecuador,2018-10-01,Displacement,18-RR-CEF-097,2880,"Rapid Response In Health And Nutrition For Vulnerable Groups","Latin America and the Caribbean",P,132027.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
"United Nations Children’s Fund",Americas,ECU,Ecuador,2018-10-02,Displacement,18-RR-CEF-098,2881,"Protecting children on the move","Latin America and the Caribbean",P,100000.0,"Rapid Response",2018,"Child Protection",Protection,"Venezuela regional emergency (2018)",""
"United Nations Entity for Gender Equality and the Empowerment of Women ",Americas,BRA,Brazil,2018-10-04,Displacement/Migration,18-RR-WOM-009,2893,"Access to Justice and to Protection from Sexual Exploitation and Trafficking to Venezuelan Migrant, Asylum Seeker and Refugee Women in Roraima, Brazil","Latin America and the Caribbean",P,280107.0,"Rapid Response",2018,"Human Rights",Protection,"Venezuela regional emergency (2018)",""
"World Food Programme",Americas,ECU,Ecuador,2018-09-28,Displacement,18-RR-WFP-056,2867,"Emergency food assistance for vulnerable Venezuelans arriving at the Ecuadorian northern border","Latin America and the Caribbean",P,536002.0,"Rapid Response",2018,"Food Aid","Food Security","Venezuela regional emergency (2018)",""
"United Nations Entity for Gender Equality and the Empowerment of Women ",Americas,ECU,Ecuador,2018-10-02,Displacement,18-RR-WOM-008,2875,"Enhance access to protection and lifesaving mechanisms to respond and prevent GBV, particularly trafficking and sexual exploitation of women who are part of the Venezuelan migratory influx.","Latin America and the Caribbean",P,130000.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Venezuela regional emergency (2018)",""
"World Health Organization",Americas,VEN,Venezuela,2018-11-15,Displacement/Migration,18-RR-WHO-047,2944,"Ensuring emergency care delivery capacity in priority health institutions to address essential health needs of the most vulnerable population in Venezuela","Latin America and the Caribbean",P,3650870.0,"Rapid Response",2018,Health,Health,"",""
"United Nations Children’s Fund",Americas,BRA,Brazil,2018-10-04,Displacement/Migration,18-RR-CEF-103,2894,"Providing education, protection, health and nutrition services for migrant children in Roraima","Latin America and the Caribbean",P,522428.0,"Rapid Response",2018,"Multi-sector ",Multi-Cluster,"Venezuela regional emergency (2018)",""
"United Nations Population Fund",Americas,BRA,Brazil,2018-10-04,Displacement/Migration,18-RR-FPA-040,2895,"Provide comprehensive survivor-centred and multi-sectoral care for GBV survivors and promote Sexual and Reproductive health rights for vulnerable venezuelans in Roraima State, with emphasis on women, adolescents and young people.","Latin America and the Caribbean",P,300000.0,"Rapid Response",2018,"Sexual and/or Gender-Based Violence",Protection,"Venezuela regional emergency (2018)",""
"United Nations Population Fund",Americas,PER,Peru,2018-10-01,Displacement,18-RR-FPA-038,2872,"To improve the access to Sexual and Reproductive Health (SRH) care for the Venezuelan migrant population, focused on women in reproductive age and adolescent women.","Latin America and the Caribbean",P,256458.0,"Rapid Response",2018,Health,Health,"Venezuela regional emergency (2018)",""
