term	cat	cat2
progress of border areas and national races and development affairs minister 	GOV	
progress of border areas and national races and development affairs ministers 	GOV	
progress of border areas and national races and development affairs ministry 	GOV	
progress of border areas and national races and development affairs ministries 	GOV	
public works minister 	GOV	
public works ministers 	GOV	
public works ministry 	GOV	
public works ministries 	GOV	
rail transport minister 	GOV	MED
rail transport ministers 	GOV	MED
rail transport ministry 	GOV	MED
rail transport ministries 	GOV	MED
religious affairs minister 	GOV	REL
religious affairs ministers 	GOV	REL
religious affairs ministry 	GOV	REL
religious affairs ministries 	GOV	REL
science and information technology minister 	GOV	
science and information technology ministers 	GOV	
science and information technology ministry 	GOV	
science and information technology ministries 	GOV	
science and it minister 	GOV	
science and it ministers 	GOV	
science and it ministry 	GOV	
science and it ministries 	GOV	
shipping minister 	GOV	
shipping ministers 	GOV	
shipping ministry 	GOV	
shipping ministries 	GOV	
social welfare minister 	GOV	HLH
social welfare ministers 	GOV	HLH
social welfare ministry 	GOV	HLH
social welfare ministries 	GOV	HLH
special affairs of tribes people minister 	GOV	
special affairs of tribes people ministers 	GOV	
special affairs of tribes people ministry 	GOV	
special affairs of tribes people ministries 	GOV	
state minister 	GOV	
state ministers 	GOV	
state ministry 	GOV	
state ministries 	GOV	
state planning minister 	GOV	DEV
state planning ministers 	GOV	DEV
state planning ministry 	GOV	DEV
state planning ministries 	GOV	DEV
technology minister 	GOV	
technology ministers 	GOV	
technology ministry 	GOV	
technology ministries 	GOV	
telecommunications minister 	GOV	MED
telecommunications ministers 	GOV	MED
telecommunications ministry 	GOV	MED
telecommunications ministries 	GOV	MED
telecommunication minister 	GOV	MED
telecommunication ministers 	GOV	MED
telecommunication ministry 	GOV	MED
telecommunication ministries 	GOV	MED
textiles minister 	GOV	
textiles ministers 	GOV	
textiles ministry 	GOV	
textiles ministries 	GOV	
tourism minister 	GOV	
tourism ministers 	GOV	
tourism ministry 	GOV	
tourism ministries 	GOV	
trade and commerce minister 	GOV	
trade and commerce ministers 	GOV	
trade and commerce ministry 	GOV	
trade and commerce ministries 	GOV	
trade minister 	GOV	
trade ministers 	GOV	
trade ministry 	GOV	
trade ministries 	GOV	
transportation minister 	GOV	MED
transportation ministers 	GOV	MED
transportation ministry 	GOV	MED
transportation ministries 	GOV	MED
transport and communication minister 	GOV	MED
transport and communication ministers 	GOV	MED
transport and communication ministry 	GOV	MED
transport and communication ministries 	GOV	MED
transport minister 	GOV	MED
transport ministers 	GOV	MED
transport ministry 	GOV	MED
transport ministries 	GOV	MED
treasury minister 	GOV	
treasury ministers 	GOV	
treasury ministry 	GOV	
treasury ministries 	GOV	
unification minister 	GOV	
unification ministers 	GOV	
unification ministry 	GOV	
unification ministries 	GOV	
water and flood control minister 	GOV	
water and flood control ministers 	GOV	
water and flood control ministry 	GOV	
water and flood control ministries 	GOV	
water minister 	GOV	
water ministers 	GOV	
water ministry 	GOV	
water ministries 	GOV	
water resources and flood control minister 	GOV	
water resources and flood control ministers 	GOV	
water resources and flood control ministry 	GOV	
water resources and flood control ministries 	GOV	
water resources minister 	GOV	
water resources ministers 	GOV	
water resources ministry 	GOV	
water resources ministries 	GOV	
welfare minister 	GOV	HLH
welfare ministers 	GOV	HLH
welfare ministry 	GOV	HLH
welfare ministries 	GOV	HLH
women and children affairs minister 	GOV	
women and children affairs ministers 	GOV	
women and children affairs ministry 	GOV	
women and children affairs ministries 	GOV	
youth and sports minister 	GOV	
youth and sports ministers 	GOV	
youth and sports ministry 	GOV	
youth and sports ministries 	GOV	
hindu clergyman 	HIN	
hindu clergymen 	HIN	
hindu clergywoman 	HIN	
hindu clergywomen 	HIN	
hindu clergyperson 	HIN	
medical man 	HLH	
medical men 	HLH	
medical woman 	HLH	
medical women 	HLH	
medical person 	HLH	
congressman  	LEG	
congressmen  	LEG	
congresswoman  	LEG	
congresswomen  	LEG	
congressperson  	LEG	
newspaperman  	MED	
newspapermen  	MED	
newspaperwoman  	MED	
newspaperwomen  	MED	
newspaperperson  	MED	
spokesman  	MED	
spokesmen  	MED	
spokeswoman  	MED	
spokeswomen  	MED	
spokesperson  	MED	
military spokesman  	MIL	
military spokesmen  	MIL	
military spokeswoman  	MIL	
military spokeswomen  	MIL	
military spokesperson  	MIL	
serviceman 	MIL	
servicemen 	MIL	
servicewoman 	MIL	
servicewomen 	MIL	
serviceperson 	MIL	
clergyman  	REL	
clergymen  	REL	
clergywoman  	REL	
clergywomen  	REL	
clergyperson  	REL	
holy man  	REL	
holy men  	REL	
holy woman  	REL	
holy women  	REL	
holy person  	REL	
