Argentina;Garfin Group;Italy;Food crops, Livestock;[2001] Concluded (Contract signed);3056;Sun Flower, Corn (Maize), Soya Beans, Wheat
Argentina;Garfin Group;Italy;Food crops, Livestock;[2005] Concluded (Contract signed);11764;Sun Flower, Corn (Maize), Soya Beans, Wheat
Argentina;CRAM SA.;Argentina;Food crops;[2006] Concluded (Contract signed);10000;Soya Beans
Argentina;Agroganadera El Mistol SA.;Argentina;Food crops;[2013] Concluded (Contract signed);17800;Soya Beans
Argentina;Everest SA.;Argentina;Food crops;[2005] Concluded (Contract signed);4056;Soya Beans
Argentina;Initium Aferro SA.;Argentina;Food crops;[2005] Concluded (Contract signed);2026;Soya Beans
Argentina;Anta del Dorado SA / Antamoll SA;Argentina;Food crops;[2006] Concluded (Contract signed);4053;Soya Beans
Argentina;Desdelsur SA.;Argentina;Livestock;[2011] Concluded (Contract signed);6517;
Argentina;La Legua SA.;Argentina;Livestock;[2007] Concluded (Contract signed);5220;
Argentina;Gervasio Zuza SRL.;Argentina;Livestock;[2005] Concluded (Contract signed);3730;
Ghana;Wienco, Komma BV, Nanton Chief , Tamale Investments, African Tiger Mutual Fund;Ghana, Netherlands;Conservation, Food crops;[2001] Concluded (Contract signed);635;Mango
Argentina;Grupo Lucci;Argentina;Food crops;[2007] Concluded (Contract signed);3040;Corn (Maize), Soya Beans, Wheat
Argentina;Grupo Lucci;Argentina;Food crops;[2000] Concluded (Contract signed);1124;Soya Beans, Sugar Cane
Mozambique;TurConsult, AgriCane;Mozambique, South Africa;Biofuels, Food crops, Livestock, Non-food agricultural commodities, Renewable Energy;[2015] Intended (Under negotiation);;Corn (Maize), Cotton, Sugar (no specification)
Argentina;Desafio del Chaco SA.;Argentina;Food crops, Livestock;[2004] Concluded (Contract signed);10707;Bean
Argentina;Desafio del Chaco SA.;Argentina;Food crops, Livestock;[2001] Concluded (Contract signed);5300;Bean
Brazil;Sojitz Group, Grupo CGG;Japan, Brazil;Food crops;[2011] Concluded (Contract signed);50000;Corn (Maize), Soya Beans
Brazil;Sojitz Group, Grupo CGG;Japan, Brazil;Food crops, Non-food agricultural commodities;[2011] Concluded (Contract signed);69274;Cotton, Corn (Maize), Soya Beans
Brazil;Sojitz Group, Grupo CGG;Japan, Brazil;Food crops, Livestock, Non-food agricultural commodities;[2011] Concluded (Contract signed);22076;Cotton, Soya Beans
Brazil;Sojitz Group, Grupo CGG;Japan, Brazil;Food crops, Non-food agricultural commodities;[2011] Concluded (Contract signed);5389;Corn (Maize), Cotton, Soya Beans
Argentina;Cervera Nestor;Argentina;Livestock;[2008] Concluded (Contract signed);24500;
Peru;Grupo Melka;United States of America;Biofuels;[2013] Concluded (Contract signed);3000;Oil Palm
Peru;Grupo Melka;United States of America;Biofuels;[2014] Concluded (Contract signed);12000;Oil Palm
Paraguay;Bioenergy Corporation;Brazil;Biofuels;[2010] Concluded (Contract signed);2500;Soya Beans
Argentina;Establecimientos Río Grande SA.;Argentina;Food crops, Livestock;[2010] Concluded (Contract signed);4000;Corn (Maize), Soya Beans
Argentina;Los Dos Ríos SA.;Argentina;Food crops;[2007] Concluded (Contract signed);1539;Bean
Argentina;Grupo Lacroze;Argentina;Livestock;[2008] Concluded (Contract signed);5040;
Argentina;Grupo Lacroze;Argentina;Livestock;[2010] Concluded (Contract signed);14096;
Argentina;Grupo Lacroze;Argentina;Food crops, Livestock;[2010] Concluded (Contract signed);25456;Corn (Maize)
Argentina;Grupo Lacroze;Argentina;Food crops, Livestock;[2005] Concluded (Contract signed);1122;Bean, Wheat
Nigeria;Flour Mills of Nigeria Plc (FMN);Nigeria;Biofuels, Food crops, Renewable Energy;Concluded (Contract signed);10000;Sugar Cane
Nigeria;Flour Mills of Nigeria Plc (FMN), Nigerian Breweries;Nigeria;Food crops;Intended (Under negotiation);;Cassava (Maniok)
Malawi;Alliance One;United States of America;Food crops, Non-food agricultural commodities;[2005] Concluded (Contract signed);61000;Tobacco, Corn (Maize), Soya Beans
Senegal;Valnovel, Government of Senegal ;Senegal;Food crops;;;Rice
Senegal;SUNEOR SA;Senegal;Food crops;[2005] Concluded (Contract signed);20000;Fruit
Senegal;SEDIMA Group;Senegal;Food crops;Intended (Under negotiation);;Corn (Maize)
Colombia;Pacific Exploration & Production Corp;Canada;Biofuels;[2002] Concluded (Contract signed);2483;Oil Palm
Colombia;Pacific Exploration & Production Corp;Canada;Biofuels;[2011] Concluded (Contract signed);2432;Oil Palm
Colombia;Pacific Exploration & Production Corp;Canada;Biofuels;[2007] Concluded (Contract signed);7526;Oil Palm
Nicaragua;Diego Rivera;Guatemala;Biofuels;[2007] Concluded (Contract signed);3020;Oil Palm
Panama;FMO (Netherlands Development Finance Company), DEG (Deutsche Investitions- und Entwicklungsgesellschaft), BCIE (Banco Centroamericano de Integración Económica);Netherlands, Germany, Honduras;Renewable Energy;[2007] Concluded (Contract signed);242;
Ukraine;Kernel Holding S.A.;Luxembourg;Food crops, Livestock;Concluded (Contract signed);109000;Sun Flower, Corn (Maize), Wheat
Panama;Forest Finance;Germany;Conservation, For carbon sequestration/REDD, For wood and fibre;[2000] Concluded (Contract signed);2809;Teak, Trees
Colombia;Manuel Medina Muñeton;Colombia;Biofuels;[2008] Concluded (Contract signed);1212;Oil Palm
Colombia;Otto Nicolas Bula Bula;Colombia;Biofuels;[2008] Concluded (Contract signed);445;Oil Palm
Colombia;Manuel Medina Muñeton;Colombia;Livestock;[2008] Concluded (Contract signed);578;
Nicaragua;Norteak;Norway;For wood and fibre;[2008] Concluded (Contract signed);1594;Teak
Ukraine;Ukrlandfarming;Cyprus;Food crops;[2010] Concluded (Contract signed);180000;
Ukraine;Western NIS Enterprise Fund;United States of America;Livestock, Non-food agricultural commodities;[2017] Concluded (Contract signed);4434;Grains, Soya Beans
Serbia; Al Dahra International Investment LLC;United Arab Emirates;Food crops;[2014] Concluded (Contract signed);971;Apple
Morocco;Moroccan Agency for Renewable Energies (MASEN);Morocco;Renewable Energy;Concluded (Contract signed);2500;
Serbia;Tönnies Lebensmittel GmbH & Co. KG;Germany;Livestock;[2015] Concluded (Contract signed);15000;
Serbia;Al Rafawed Agriculture;United Arab Emirates;Food crops, Non-food agricultural commodities;[2014] Concluded (Contract signed);8500;Alfalfa, Corn (Maize), Wheat
Serbia;Agrokor Group;Croatia;Food crops;[2005] Concluded (Contract signed);4200;Oil Seeds
Ukraine;Goodvalley A/S;Denmark;Biofuels, Livestock;[2004] Concluded (Contract signed);13500;Sun Flower, Corn (Maize), Soya Beans
Lithuania;UAB Baltic Champs Group;Lithuania;Food crops;[2017] Concluded (Contract signed);7700;Vegetables
Ukraine;Kusto Group Inc.;Singapore;Food crops, Livestock;[2013] Concluded (Contract signed);12300;Sun Flower, Peas, Mustard, Corn (Maize), Soya Beans, Wheat
Algeria;Unknown (4429);Algeria;Food crops;Concluded (Contract signed);30000;Cereals (no specification), Tomatoes, Oil Seeds, Wheat
Mozambique; Eráti government,, Unknown (4991);Mozambique;Food crops;[2015] Intended (Under negotiation);;Banana
Rwanda;Rai Group;Mauritius;Food crops;[2018] Intended (Under negotiation);;Sugar Cane
Algeria;Tifralait , International Agriculture Group (AIAG);Algeria, United States of America;Food crops, Livestock, Non-food agricultural commodities;[2017] Concluded (Contract signed);25000;Fodder Plants, Cereals (no specification), Potatoes
The former Yugoslav Republic of Macedonia;Sahara India Pariwar Ltd;India;Livestock;Concluded (Contract signed);5353;
The former Yugoslav Republic of Macedonia;Sahara India Pariwar Ltd;India;Tourism;[2012] Concluded (Contract signed);240;
Viet Nam;Civil Engineering Construction Corporation No. 4 Ltd (CIENCO 4) , Hemaraj Land and Development Public Company Limited;Viet Nam, Thailand;Industry;[2016] Concluded (Contract signed);498;
Viet Nam;PetroVietnam Exploration Production Corporation , Vietnam Oil and Gas Group (PetroVietnam), ExxonMobil Corp;Viet Nam, United States of America;Industry;[2017] Concluded (Contract signed);360;
Russian Federation;Sodrugestvo Group S.A.;Luxembourg;Food crops;[2017] Intended (Expression of interest);;Soya Beans
Russian Federation;Erneal Limited;Cyprus;Food crops;[2017] Concluded (Contract signed);244000;Barley, Sun Flower, Sugar beet, Corn (Maize), Potatoes, Soya Beans, Wheat
Viet Nam;KINHBAC CITY DEVELOPMENT HOLDING CORPORATION, Hon Hai Precision Industry Co., Ltd;Viet Nam, China;Industry;[2010] Concluded (Contract signed);206;
Viet Nam;Company of Hai Phong City, Shenyue Joint Investment Company Limited;Viet Nam, China;Industry;[2012] Concluded (Contract signed);196;
Viet Nam;Rent-A-Port Group;Belgium;Industry;Concluded (Contract signed);2223;
Viet Nam;Nam Hong Company Ltd, Jababeka Group;Viet Nam, Indonesia;Industry;Concluded (Contract signed);300;
Viet Nam; Chuan Gia Bao Company;China;Industry, Other (please specify);[2011] Concluded (Contract signed);306;
Mozambique;Green Resources AS;Norway;For wood and fibre;Concluded (Contract signed);9500;Eucalyptus, Pine
Senegal;Senegindia SARL Ltd.;India;Food crops;[2016] Concluded (Contract signed);1000;Potatoes
Viet Nam;Korea Land and Housing Corporation;Republic of Korea;Industry;[2008] Concluded (Contract signed);100;
Viet Nam;Bac Giang Industrial zone Infrastructure Development Company,  Fuji Bac Giang development JSC;Viet Nam, Japan;Industry;[2006] Concluded (Contract signed);158;
Belarus;China Xinjiang Bingtuan Construction & Enigneering (Group) Co. Ltd.;China;Food crops, Livestock;[2016] Intended (Expression of interest);;Bean, Corn (Maize), Potatoes, Wheat
Viet Nam;Hanoi General Export Import Corporation (Geleximco);Viet Nam;Industry, Other (please specify);[2014] Concluded (Contract signed);660;
Kenya;Kenya Electricity Generating Company Limited (KenGen);Kenya;Renewable Energy;[2016] Concluded (Contract signed);7567;
Algeria;AAAID, Unknown (4992);Sudan;;[2017] Intended (Under negotiation);;
Algeria;AAAID, Unknown (4992);Sudan;;[2017] Intended (Under negotiation);;
Liberia;Texas International Group LLC;United States of America;For wood and fibre;[2010] Concluded (Contract signed);4000;Trees
Liberia;Liberian Harwood Corporation;Liberia;For wood and fibre;[2011] Concluded (Contract signed);5000;Trees
Viet Nam; Ascendas-Singbridge Group, Protrade Corporation ;Singapore, Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);500;
Liberia;B&V Timber Company;Liberia;For wood and fibre;Concluded (Contract signed);5000;Trees
Viet Nam;Phu Lam Plastic Industry Co.,  Ltd. , Maruichi Steel Tube Ltd., TaFong Corporation, Forever Wonder Investment Limited, Kwan Chin Machinery Company, Billion Grand Cor.;China, Japan;Industry, Other (please specify);[2005] Concluded (Contract signed);274;
Viet Nam;Binh Duong Mineral and Construction Joint Stock Company;Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);213;
Viet Nam;Kim Huy Industrial Park Development Company;Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);213;
Viet Nam;Investment and Industrial Development Corporation ( Becamex IDC) ;Viet Nam;Industry, Other (please specify);[2002] Concluded (Contract signed);377;
Viet Nam;Investment and Industrial Development Corporation ( Becamex IDC) ;Viet Nam;Industry, Other (please specify);[2005] Concluded (Contract signed);477;
Viet Nam;Investment and Industrial Development Corporation ( Becamex IDC) ;Viet Nam;Industry, Other (please specify);[2005] Concluded (Contract signed);202;
Viet Nam;Viet Huong Group;Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);250;
Viet Nam;Viet Duc Joint Stock Company, Phuoc Hoa Rubber Joint Stock Company, Nam Tan Uyen Joint Stock Company;Viet Nam;Other (please specify), Tourism;[2013] Concluded (Contract signed);352;
Viet Nam;Vietnam Rubber Group, Phuoc Hoa Rubber Joint Stock Company, Rubber Real Estate Construction & Investment JS Company,  Rubber Basic Construction Company;Viet Nam;Industry, Other (please specify);[2010] Concluded (Contract signed);620;
Viet Nam;Vietnam Rubber Group;Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);279;
Viet Nam; Dai Nam Joint Stock Company;Viet Nam;Industry, Other (please specify);[2002] Concluded (Contract signed);279;
Viet Nam; Dai Nam Joint Stock Company;Viet Nam;Other (please specify), Tourism;[2007] Concluded (Contract signed);534;
Viet Nam;Investment and Industrial Development Corporation ( Becamex IDC) ;Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);998;
Viet Nam;Bac Giang Industrial zone Infrastructure Development Company, Fuji Corp;Viet Nam, Japan;Industry, Other (please specify);[2007] Concluded (Contract signed);159;
Viet Nam;Phu My Group Joint Stock Company;Viet Nam;Industry, Other (please specify);[2016] Concluded (Contract signed);207;
Viet Nam;KINHBAC CITY DEVELOPMENT HOLDING CORPORATION;Viet Nam;Industry, Other (please specify);[2002] Concluded (Contract signed);600;
Viet Nam;Viglacera Corporation;Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);658;
Viet Nam;KINHBAC CITY DEVELOPMENT HOLDING CORPORATION;Viet Nam;Industry, Other (please specify);[2005] Concluded (Contract signed);368;
Viet Nam;VIETNAM URBAN AND INDUSTRIAL ZONE DEVELOPMENT INVESTMENT CORPORATION (IDICO);Viet Nam;Industry, Other (please specify);[2012] Concluded (Contract signed);573;
Viet Nam;Shun Far Land Development Co., Ltd;China;Industry, Other (please specify);[2009] Concluded (Contract signed);250;
Viet Nam;Khai Son JSC, Trung Quy Investment JSC;Viet Nam;Industry, Other (please specify);[2008] Concluded (Contract signed);300;
Viet Nam;Vietnam Investment Development Group (VID);Viet Nam;Industry, Other (please specify);[2009] Concluded (Contract signed);520;
Viet Nam;KINHBAC CITY DEVELOPMENT HOLDING CORPORATION, Song Da Infrastructure Construction Joint Stock Company;Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);480;
Viet Nam;Industrial Park Management Board of Hagiang Province;;Industry, Other (please specify);[2008] Concluded (Oral Agreement);250;
Senegal;Douja Promotion Groupe Addoha S.A.;Morocco;Food crops;[2017] Failed (Contract canceled);10000;Cassava (Maniok), Rice
Viet Nam;Hoa Phat Group;Viet Nam;Industry, Other (please specify);[2007] Concluded (Contract signed);200;
Viet Nam;Vietnam Investment Development Group (VID);Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);264;
Viet Nam;DĐK INVESTMENT – CONSTRUCTION JOINT STOCK GROUP;Viet Nam;Industry, Other (please specify);[2008] Concluded (Contract signed);340;
Viet Nam;Dai An Joint Stock Company;Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);433;
Viet Nam;Hai Duong Province;Viet Nam;Industry, Other (please specify);[2014] Concluded (Contract signed);213;
Viet Nam;Vietnam Investment Development Group (VID);Viet Nam;Industry, Other (please specify);[2005] Concluded (Contract signed);240;
Russian Federation;Sistema JSFC GDR;Russian Federation;Food crops, Livestock;[2014] Concluded (Contract signed);265915;Apple, Barley, Sun Flower, Sugar beet, Corn (Maize), Vegetables, Wheat
Niger;Al Horaish for Trading & Industry, Unknown (4529);Saudi Arabia, Niger;;[2016] Intended (Under negotiation);;
Mali;Toya Holding Anonim Sirkeiti;Turkey;Food crops, Non-food agricultural commodities;[2016] Concluded (Contract signed);30000;Corn (Maize), Cotton
Madagascar;Ruchi Soya Industries;India;Food crops;[2012] Concluded (Contract signed);17000;Lentils
Madagascar;Long fee;China;Livestock;[2005] Concluded (Contract signed);500;
Madagascar;Lohasaha;Madagascar;For wood and fibre;Concluded (Contract signed);8800;Trees
Madagascar;Food & Allied Industries Ltd;Mauritius;Food crops;Intended (Expression of interest);;Corn (Maize)
Russian Federation;Sistema JSFC GDR;Russian Federation;Food crops, Livestock;[2011] Concluded (Contract signed);46900;Grains
Viet Nam;Yen Bai Provincial Goverment;Viet Nam;Industry, Other (please specify);[2010] Concluded (Contract signed);400;
Viet Nam;Thai Nguyen Management Board of industrial park;Viet Nam;Industry, Other (please specify);[2006] Concluded (Contract signed);250;
Viet Nam;Hoan Viet trading and investment JSC;Viet Nam;Industry, Other (please specify);[2014] Concluded (Contract signed);120;
Viet Nam;KINHBAC CITY DEVELOPMENT HOLDING CORPORATION;Viet Nam;Industry;[2010] Concluded (Contract signed);569;
Viet Nam;Hanoi General Export Import Corporation (Geleximco);Viet Nam;Industry, Other (please specify);[2010] Concluded (Contract signed);681;
Viet Nam;Viglacera Corporation;Viet Nam;Industry, Other (please specify);[2015] Concluded (Contract signed);275;
Viet Nam;Industrial Park Infrastructure Development Company;Viet Nam;Industry, Other (please specify);[2015] Concluded (Contract signed);127;
Viet Nam;Industrial Park Infrastructure Development Company;Viet Nam;Industry, Other (please specify);[2009] Concluded (Contract signed);162;
Viet Nam;Industrial Park Infrastructure Development Company;Viet Nam;Industry, Other (please specify);[2004] Concluded (Contract signed);351;
Nigeria;Dangote Industries;Nigeria;Food crops;[2005] Concluded (Contract signed);5621;Pineapple
Gabon;Obtala Resources Ltd ;United Kingdom of Great Britain and Northern Ireland;For wood and fibre;[2017] Concluded (Contract signed);96851;Trees
Ethiopia;Olana Gobena agricultural development;Ethiopia;Food crops;[2001] Concluded (Contract signed);424;Sesame, Corn (Maize), Rice, Soya Beans
Ethiopia;Raj agro-industry;India;Food crops;[2000] Concluded (Contract signed);829;Mango
Ethiopia;Raj agro-industry;India;Biofuels, Food crops, Renewable Energy;[2008] Concluded (Contract signed);3500;Sorghum, Pepper , Corn (Maize), Soya Beans, Sugar Cane, Vegetables
Ethiopia;Ras Dashen Agro-industry;Ethiopia;Food crops;[2000] Concluded (Contract signed);895;Peanut, Corn (Maize), Soya Beans
Argentina;Paladin Agropecuaria SRL;United States of America;Livestock;[2006] Concluded (Contract signed);50000;
Argentina;Joseph Lewis;United Kingdom of Great Britain and Northern Ireland;Other (please specify);[2016] Concluded (Contract signed);850;
Brazil;Novo Mercado, Cresud S.A.;Brazil, Argentina;Food crops;[2017] Concluded (Contract signed);32556;Grains, Sugar Cane
Argentina;Bellamar Estancias SA;Argentina;Conservation, Livestock, Tourism;[2003] Concluded (Contract signed);24800;
Romania;PHI Group, Inc, Maxagro s.r.l.;United States of America, Romania;Livestock, Other (please specify);[2017] Concluded (Contract signed);12000;
Senegal;ROVIC GROUP;Senegal;Food crops;Concluded (Contract signed);6000;Peanut, Sesame, Sweet Potatoes, Corn (Maize), Soya Beans
Viet Nam;Lao Cai Industrial Park Management Board;Viet Nam;Industry, Other (please specify);[2004] Concluded (Contract signed);156;
Viet Nam;PLT INDUSTRIAL ZONE INVESTMENT JOINT STOCK COMPANY;Viet Nam;Industry, Other (please specify);[2012] Concluded (Contract signed);368;
Viet Nam;NHON HOA IP INFRASTRUCTURE JOINT STOCK COMPANY;Viet Nam;Industry, Other (please specify);[2009] Concluded (Contract signed);314;
Viet Nam;Saigon - Nhonhoi Industrial Park Corporation (SNP);Viet Nam;Industry, Other (please specify);[2005] Concluded (Contract signed);630;
Viet Nam;Investment and Industrial Development Corporation ( Becamex IDC) ;Viet Nam;Industry;[2015] Concluded (Contract signed);1000;
Romania;Nutre SGPS SA;Portugal;Biofuels, Food crops;Concluded (Contract signed);9800;Barley, Sun Flower, Rapeseed, Corn (Maize), Wheat
Romania;Nutre SGPS SA;Portugal;Biofuels, Food crops;Concluded (Contract signed);2700;Barley, Sun Flower, Rapeseed, Corn (Maize), Wheat
Mauritania;Government of Mauritania ;Mauritania;;Concluded (Contract signed);3500;
Mauritania;Government of Mauritania ;Mauritania;;Concluded (Contract signed);3200;
South Africa;;;Livestock;[2013] Concluded (Contract signed);4400;
Ghana;China Geo-Engineering Corporation;China;Food crops;Intended (Under negotiation);;
Ethiopia;Karuturi Global Ltd.;India;Non-food agricultural commodities;[2007] Concluded (Contract signed);385;Flowers, Roses
Ethiopia;Unknown (Dutch and other investors);;Food crops, Non-food agricultural commodities;[2017] Intended (Under negotiation);;Flowers, Vegetables
Paraguay;;;Livestock;[2006] Concluded (Contract signed);7000;
Paraguay;Ganadera Taiama SA;Paraguay;Livestock;[2016] Concluded (Contract signed);10000;
Paraguay;Cañada El Hacha SA.;Paraguay;Livestock;[2015] Concluded (Contract signed);850;
Paraguay;Amado Gonzalez Britez;Paraguay;Livestock;[2015] Concluded (Contract signed);1018;
Nigeria;Dangote Industries;Nigeria;Agriunspecified;[2006] Concluded (Contract signed);9313;Oil Palm
Nigeria;Unknown (Sea Agriculture);;Agriunspecified;[2003] Concluded (Contract signed);11246;Oil Palm
Nigeria;;;Agriunspecified;[2004] Concluded (Contract signed);9700;Oil Palm
Nigeria;Nedu Limited;Nigeria;Agriunspecified;;3300;Oil Palm
Paraguay;Elmer Vogt Ratzlaff;Paraguay;Livestock;[2008] Concluded (Contract signed);4000;
Paraguay;Nativo SA.;Paraguay;Livestock;[2015] Concluded (Contract signed);2002;
Paraguay;Julio Ricardo Buttner Rojas;Paraguay;Livestock;[2016] Concluded (Contract signed);2371;
Congo;;;For wood and fibre;[2001] Concluded (Contract signed);114379;Trees
Cameroon;ALPI Group S.P.A;Italy;For wood and fibre;Concluded (Contract signed);195921;Trees
Paraguay;Cooperativa Colonizadora Multivariada Fernheim Ltda.;Paraguay;Livestock;[2008] Concluded (Contract signed);591;
Paraguay;Los Gurises SA.;Paraguay;Livestock;[2016] Concluded (Contract signed);4000;
Congo;;;Food crops;[2017] Concluded (Contract signed);22000;Cashew
Paraguay;San Rafael Agrícola y Ganadera SRL;Paraguay;Livestock;[2002] Concluded (Contract signed);18750;
Paraguay;Sudamérica Invest SA.;Paraguay;Livestock;[2015] Concluded (Contract signed);1640;
Paraguay;Agroganadera Yvy Pora SA.;Paraguay;Livestock;[2015] Concluded (Contract signed);759;
Paraguay;Oliver Neufeld Kroker;Paraguay;Livestock;[2015] Concluded (Contract signed);2771;
Paraguay;Juan Carlos García Bobadilla;Paraguay;Livestock;[2011] Concluded (Contract signed);2494;
Paraguay;Estancia Buss SA.;Paraguay;Livestock;[2013] Concluded (Contract signed);7077;
Paraguay;Cooperativa Colonizadora Multivariada Fernheim Ltda.;Paraguay;Livestock;[2011] Concluded (Contract signed);713;
Democratic Republic of the Congo;Line Trust Corporation Limited;Gibraltar;Food crops, Livestock;[2012] Concluded (Contract signed);242;Onion, Tomatoes, Pepper , Cassava (Maniok), Corn (Maize), Fruit, Potatoes, Vegetables
Mozambique;Unknown Dutch Shareholders;Netherlands;Food crops;[2011] Concluded (Contract signed);250;Food crops (no specification)
Mozambique;;;Food crops;[2014] Concluded (Contract signed);500;Bean, Corn (Maize), Onion, Peas, Sesame, Tomatoes, Vegetables
Mozambique;;;Food crops;[2014] Concluded (Contract signed);1000;Cashew, Corn (Maize), Soya Beans, Wheat
Mozambique;Eagle EnterPrises;South Africa;Biofuels;Concluded (Contract signed);1000;Jatropha
Argentina;;;Livestock;[2003] Concluded (Contract signed);5460;
Argentina;Finlays;United Kingdom of Great Britain and Northern Ireland;Food crops;[2014] Concluded (Contract signed);2000;Tea
Mozambique;;;Food crops;[2004] Concluded (Contract signed);2000;
Bolivia (Plurinational State of);Empresa Azucarera San Buenaventura SA.;Bolivia (Plurinational State of);Biofuels, Food crops;[2010] Concluded (Contract signed);5000;Sugar Cane
Mozambique;African Century Group;Mauritius;Food crops, Non-food agricultural commodities;Concluded (Contract signed);1000;Corn (Maize), Soya Beans
Mozambique;;;For wood and fibre;Concluded (Contract signed);30000;Trees
Mozambique;;;For wood and fibre;Concluded (Contract signed);3000;Eucalyptus
Mozambique;Rift Valley Corporation, Matanuska Mauritius;Zimbabwe, Mauritius;Food crops;Concluded (Contract signed);2200;Sesame, Bean, Corn (Maize)
Mozambique;Rift Valley Corporation, Matanuska Mauritius;Zimbabwe, Mauritius;Food crops;Concluded (Contract signed);6000;Banana
Ethiopia;European Food and Cattle Plc;France;Livestock, Non-food agricultural commodities;[2016] Concluded (Contract signed);800;Fodder Plants
Ethiopia;European Food and Cattle Plc;France;Livestock;Concluded (Contract signed);200;Fodder Plants
Egypt;Korea-Arab Society (KAS), Egyptian Agriculture Ministry;Egypt;Food crops;[2017] Intended (Expression of interest);126000;
Mozambique;Annona Sustainable Investments bv;Netherlands;Biofuels, Food crops;[2007] Concluded (Contract signed);800;Banana, Bean, Sugar Cane
Romania;GreenGold Asset Management AB/KB;Sweden;For wood and fibre;[2018] Concluded (Contract signed);1915;Trees
Congo;Frontline Development Partners;United Arab Emirates;Biofuels, Food crops, Renewable Energy;[2017] Concluded (Contract signed);19000;Sugar Cane
Brazil;Summit Agricultural Group;United States of America;Biofuels, Food crops;[2012] Concluded (Contract signed);4451;Corn (Maize), Soya Beans
Belize;Florida Crystals Corporation, Sugar Cane Growers Cooperative of Florida;United States of America;Biofuels, Food crops;[2012] Concluded (Contract signed);1618;Sugar Cane
Paraguay;Grupo Favero;Brazil;Food crops;[2005] Concluded (Contract signed);37500;Soya Beans
Paraguay;Grupo Cartes;Paraguay;Livestock;[2008] Concluded (Contract signed);37000;
Brazil;ZDA Participações e Administrações S.A, Eucalyptus Fundo de Investimento em Participações, Brasil Sustentabilidade Fundo de Investimento em Participações, Brutelle Fundo de Investimentos em Participações, Gesheft Fundo de Investimento em Participações;Brazil;For wood and fibre;[2008] Concluded (Contract signed);117000;Eucalyptus
Argentina;Caputo Nicolas;Argentina;Food crops;[2016] Concluded (Contract signed);6410;Soya Beans, Wheat
Argentina;Ceibalito SA.;Argentina;Food crops;[2005] Concluded (Contract signed);1224;Soya Beans
Argentina;Ganadera Valle de Anta SA.;Argentina;Food crops, Livestock;[2000] Concluded (Contract signed);11993;Corn (Maize), Soya Beans
Argentina;La Remembranza SA.;Argentina;Food crops;[2005] Concluded (Contract signed);6065;Corn (Maize), Soya Beans
Angola;Costa Negócios;Brazil;Agriunspecified;[2016] Concluded (Contract signed);;Corn (Maize), Soya Beans
Mozambique;Peter Andreas Gouws;South Africa;Food crops;Concluded (Contract signed);1600;Banana
Mozambique;Timber World lda;China;For wood and fibre;[2005] Concluded (Contract signed);23000;Trees
Swaziland;Transvaal Wattle Growers Co-operative (TWK);South Africa;For wood and fibre;Concluded (Contract signed);12000;Eucalyptus, Pine, Trees
Malawi;Citrefine International Limited;United Kingdom of Great Britain and Northern Ireland;For wood and fibre, Non-food agricultural commodities;[2009] Concluded (Contract signed);5700;Eucalyptus
Uganda;Unknown (Nile Plywood Ltd);;For wood and fibre;Concluded (Contract signed);1500;Pine
Argentina;Las Cuatro S SA;Argentina;Food crops;[2012] Concluded (Contract signed);527;Soya Beans
Argentina;Las Lajitas SA.;Argentina;Food crops, Livestock;[2002] Concluded (Contract signed);5812;Soya Beans
Argentina;Las Trojas SA.;Argentina;Food crops, Livestock;[2007] Concluded (Contract signed);2266;Soya Beans
Argentina;Pallaro Hermanos SA.;Argentina;Livestock;[2004] Concluded (Contract signed);9201;
Argentina;Saltagro SA.;Argentina;Food crops, Livestock;[2006] Concluded (Contract signed);18768;Soya Beans
Argentina;Universo Agropecuaria SA.;Argentina;Food crops;[2005] Concluded (Contract signed);6851;Corn (Maize), Soya Beans
Argentina;FGF Trapani SRL;Argentina;Food crops;[2015] Concluded (Contract signed);411;Citrus Fruits
Argentina;Anzere SA.;Uruguay;Non-food agricultural commodities;[2006] Concluded (Contract signed);19954;Food crops (no specification)
Argentina;Braun Peña Alejandro Jaime;Argentina;Food crops;[2010] Concluded (Contract signed);799;Bean
Argentina;Braun Peña Alejandro Jaime;Argentina;Livestock;[2007] Concluded (Contract signed);8933;
Argentina;Estancia Río Colorado SA.;Argentina;Food crops;[2001] Concluded (Contract signed);3806;Bean
Argentina;Exportin SA.;Argentina;Food crops, Livestock;[2010] Concluded (Contract signed);16962;Peanut, Bean, Soya Beans
Argentina;Finca El Chilcar SA.;Argentina;Livestock;[2011] Concluded (Contract signed);2508;
Argentina;Finca San Roque SA.;Argentina;Food crops, Livestock;[2004] Concluded (Contract signed);6517;Bean
Argentina;Forestadora Rio Seco SRL.;Argentina;For wood and fibre;[2008] Concluded (Contract signed);3944;Trees
